state,2000,2010,diffence between 2000 and 2010
TX,20851820,25145561,4293741.0
CA,33871648,37253956,3382308.0
FL,15982378,18801310,2818932.0
GA,8186453,9687653,1501200.0
NC,8049313,9535483,1486170.0
AZ,5130632,6392017,1261385.0
VA,7078515,8001024,922509.0
WA,5894121,6724540,830419.0
CO,4301261,5029196,727935.0
NV,1998257,2700551,702294.0
TN,5689283,6346105,656822.0
SC,4012012,4625364,613352.0
UT,2233169,2763885,530716.0
MD,5296486,5773552,477066.0
PA,12281054,12702379,421325.0
IL,12419293,12830632,411339.0
OR,3421399,3831074,409675.0
IN,6080485,6483802,403317.0
NY,18976457,19378102,401645.0
MO,5595211,5988927,393716.0
MN,4919479,5303925,384446.0
NJ,8414350,8791894,377544.0
AL,4447100,4779736,332636.0
WI,5363675,5686986,323311.0
OK,3450654,3751351,300697.0
KY,4041769,4339367,297598.0
ID,1293953,1567582,273629.0
NM,1819046,2059179,240133.0
MA,6349097,6547629,198532.0
OH,11353140,11536504,183364.0
CT,3405565,3574097,168532.0
KS,2688418,2853118,164700.0
HI,1211537,1360301,148764.0
MS,2844658,2967297,122639.0
IA,2926324,3046355,120031.0
NE,1711263,1826341,115078.0
DE,783600,897934,114334.0
MT,902195,989415,87220.0
AK,626932,710231,83299.0
NH,1235786,1316470,80684.0
WY,493782,563626,69844.0
LA,4468976,4533372,64396.0
SD,754844,814180,59336.0
ME,1274923,1328361,53438.0
WV,1808344,1852994,44650.0
ND,642200,672591,30391.0
VT,608827,625741,16914.0
RI,1048319,1052567,4248.0
MI,9938444,9883640,-54804.0
PR,3808610,3725789,-82821.0
